# wave is rest wavelength in Angstroms
# flux in 1e-18 erg s^-1 cm^-2 Angstrom^-1
wave,flux
4.797779273668778842e+03,7.799283796583060535e-02
4.800627736775134508e+03,6.396141356943378653e-02
4.803476199881491084e+03,3.013661248260802311e-02
4.806324662987847660e+03,6.467341594107584024e-02
4.809173126094204235e+03,1.022636572631056562e-01
4.812021589200560811e+03,5.468506632089162323e-02
4.814870052306917387e+03,9.477725039096183968e-02
4.817718515413273053e+03,1.085334623833844464e-01
4.820566978519630538e+03,5.926864444160097334e-02
4.823415441625987114e+03,8.496525349012555572e-02
4.826263904732342780e+03,2.441545539032613510e-02
4.829112367838699356e+03,2.681989576782582360e-02
4.831960830945055932e+03,-1.454552888467783300e-02
4.834809294051412508e+03,7.447833500401068729e-02
4.837657757157769083e+03,2.470161522724542008e-02
4.840506220264125659e+03,-4.682845547074504337e-03
4.843354683370481325e+03,8.412093583783251949e-02
4.846203146476838810e+03,1.007065380357178574e-01
4.849051609583194477e+03,1.055421320886555520e-01
4.851900072689551052e+03,9.911581875062917824e-02
4.854748535795907628e+03,5.110410651825191691e-02
4.857596998902264204e+03,2.732802466954868323e-02
4.860445462008620780e+03,2.190580266686821265e-01
4.863293925114977355e+03,2.358844426265810090e-01
4.866142388221333022e+03,4.164622490155368839e-02
4.868990851327689597e+03,2.372921905781673682e-02
4.871839314434046173e+03,5.432687441997438582e-02
4.874687777540402749e+03,6.238790028416862921e-02
4.877536240646759325e+03,8.246395011559673471e-02
4.880384703753115900e+03,9.631598070925115329e-02
4.883233166859472476e+03,4.252597550715164071e-02
4.886081629965829052e+03,1.071667170669191593e-01
4.888930093072185628e+03,9.040913735758575320e-02
4.891778556178541294e+03,2.959423831745104996e-02
4.894627019284897870e+03,4.335772586065009260e-02
4.897475482391254445e+03,9.525170722363451858e-02
4.900323945497611021e+03,6.959746217582622740e-02
4.903172408603967597e+03,7.619030422440782602e-02
4.906020871710324172e+03,4.133192626426707844e-02
4.908869334816680748e+03,7.864282691857032992e-02
4.911717797923037324e+03,7.378779785893364862e-02
4.914566261029392990e+03,4.941731700843250696e-02
4.917414724135749566e+03,7.670240458935204120e-02
4.920263187242106142e+03,9.347798973432518144e-02
4.923111650348462717e+03,6.816895062483888101e-02
4.925960113454819293e+03,6.928264187793838069e-02
4.928808576561175869e+03,1.146995382358842186e-01
4.931657039667531535e+03,6.915482041429335536e-02
4.934505502773889020e+03,4.850738968680802510e-02
4.937353965880244687e+03,8.962814239067259936e-02
4.940202428986601262e+03,5.345928717866101076e-02
4.943050892092957838e+03,9.867675774750064854e-02
4.945899355199314414e+03,1.088178729006716999e-01
4.948747818305670990e+03,6.515515766981948807e-03
4.951596281412027565e+03,4.260034890026945936e-02
4.954444744518383231e+03,8.141558186654730689e-02
4.957293207624739807e+03,2.628820704931023045e-01
4.960141670731097292e+03,4.130832352355159887e-01
4.962990133837452959e+03,1.613026036833900556e-01
4.965838596943809534e+03,4.512660478120428947e-02
4.968687060050166110e+03,9.121376911195869241e-02
4.971535523156522686e+03,6.490618934182842970e-02
4.974383986262879262e+03,3.793058905877069731e-02
4.977232449369235837e+03,6.704544269173465243e-02
4.980080912475591504e+03,1.249729519364229657e-01
4.982929375581948079e+03,5.717746524367037231e-02
4.985777838688304655e+03,4.532204091247726135e-02
4.988626301794661231e+03,1.570639765013211522e-02
4.991474764901017807e+03,6.564522619602840281e-02
4.994323228007374382e+03,4.027041934407941254e-02
4.997171691113730958e+03,8.084321799686339238e-02
5.000020154220087534e+03,8.681759158231859563e-02
5.002868617326443200e+03,7.347658206572675599e-02
5.005717080432799776e+03,7.065378474371024620e-01
5.008565543539156351e+03,1.052869471643344657e+00
5.011414006645512927e+03,2.490850743055943450e-01
5.014262469751868593e+03,4.919695023003199663e-02
5.017110932858226079e+03,3.325637068352622211e-02
5.019959395964582654e+03,7.885729712773588418e-02
5.022807859070939230e+03,4.729321267545719826e-02
5.025656322177295806e+03,1.436706830840226963e-03
5.028504785283651472e+03,5.494805841996287105e-02
5.031353248390008048e+03,4.815397593218301991e-02
5.034201711496364624e+03,3.364820036712494467e-02
5.037050174602721199e+03,4.802173542185812077e-02
5.039898637709076866e+03,3.860677024179260536e-02
5.042747100815434351e+03,3.227854066642265110e-04
5.045595563921790927e+03,7.492940919995209892e-02
5.048444027028147502e+03,6.259536549223564117e-02
5.051292490134503169e+03,9.861636050110325624e-02
5.054140953240859744e+03,8.123392586175580410e-02
5.056989416347216320e+03,6.970888582949215373e-02
5.059837879453572896e+03,1.053264274423725555e-01
5.062686342559928562e+03,1.141801201901035956e-01
5.065534805666286047e+03,7.343095730103947616e-02
5.068383268772642623e+03,1.199116053731650450e-01
5.071231731878999199e+03,5.636117271007586027e-02
5.074080194985355774e+03,8.148620027818205547e-02
5.076928658091711441e+03,9.103980490834562289e-02
5.079777121198068016e+03,6.916599145502820567e-02
5.082625584304424592e+03,2.868543493494950594e-02
