x,y
1.934,1.131
0.244,-2.509
-0.097,0.311
-4.030,-1.737
-2.952,-0.190
1.144,-1.544
-0.958,-0.211
2.220,-3.184
2.254,-1.341
-0.007,1.052
-0.575,1.397
-1.542,0.109
0.716,-2.360
1.713,-1.919
-1.525,3.217
-2.509,1.119
0.517,-1.849
2.667,-1.086
-0.193,1.109
-1.110,-0.440
-1.385,2.898
-0.238,-0.150
2.450,-1.988
0.906,2.861
0.129,5.422
3.776,0.414
1.050,1.341
-1.058,-2.070
-0.394,-2.732
3.187,3.357
-2.092,-1.489
-0.377,1.541
-3.570,0.510
1.078,0.997
0.157,1.935
-0.768,0.676
2.055,-3.367
1.973,-3.843
3.006,-0.398
-2.956,2.983
-0.562,0.032
3.162,-0.039
0.516,-0.744
-1.282,-0.000
-1.477,3.200
1.100,2.174
-0.576,0.238
-3.465,-1.925
1.119,-1.041
2.976,-1.523
-1.966,-3.516
2.836,1.030
-1.293,1.104
-2.456,-1.080
-0.640,1.585
1.026,-0.748
-1.980,-0.353
1.302,-0.714
-0.638,1.575
0.308,-3.986
1.558,-1.237
2.138,-0.416
-2.153,-0.464
1.056,-1.702
-2.397,0.953
-0.460,-0.548
-4.658,-0.476
-0.864,0.774
-2.632,-0.292
1.806,-1.543
1.029,-1.254
1.928,1.422
-1.999,2.406
0.406,-2.126
0.990,1.842
-2.552,0.852
3.114,3.698
-0.722,-1.827
0.059,-0.765
-1.031,-2.215
-0.846,-0.842
1.813,-3.408
-0.858,-2.287
-3.634,0.688
-1.536,0.560
2.856,-1.930
0.161,-0.687
0.500,-2.200
-0.768,3.932
-1.630,0.574
-4.062,2.186
-2.438,2.124
-1.993,-3.518
-2.024,2.215
0.175,1.042
0.975,1.191
3.362,-1.523
-0.734,0.515
-1.143,-1.257
2.763,-2.314
-0.822,-0.576
1.697,-0.458
-3.504,2.345
3.212,-1.253
1.369,0.143
-0.777,1.449
-2.086,1.837
0.099,2.214
-3.212,-4.899
0.934,2.083
0.425,-1.477
2.210,0.838
-1.334,1.898
-2.503,-4.840
1.002,-1.060
-0.722,-2.059
-0.638,0.444
-1.391,1.167
-3.026,0.949
-0.007,-4.212
1.978,1.819
0.746,-1.489
-0.287,-1.548
5.575,2.314
1.647,0.579
0.534,-0.234
1.979,0.436
-0.782,-0.700
1.336,-1.039
-3.158,-2.592
-0.147,-2.425
4.276,2.541
0.452,-3.773
-1.084,0.240
0.378,-0.287
-0.737,-0.522
-0.940,1.776
-0.461,0.228
0.610,-1.432
2.136,3.434
-0.281,0.777
1.978,2.498
1.538,0.469
2.400,1.896
1.049,-0.546
-0.408,1.932
3.169,4.046
-0.119,0.755
-2.827,-2.062
-2.580,-2.572
0.888,1.349
-0.702,-1.199
-2.290,-1.507
0.917,-1.480
3.717,0.571
4.128,-4.570
-3.654,0.333
0.713,0.652
-1.212,-1.670
0.902,0.314
0.728,-1.190
