source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,b_r_abs,g_abs
34361129088,18.86089,17.571619,16.402643,3478.5408,309.1173604561159,302.2347,2.148647,9.616002018381716
38655544960,14.70305,14.128453,13.410816,4708.7944,318.5555300358946,332.8322,1.1961339999999987,6.43052725642206
549755818112,15.53609,14.987767,14.2817545,4837.496,631.5216422169624,621.2011,1.0993354999999998,5.697225808010806
828929527040,17.225868,16.580168,15.801358,4333.865,831.189789946942,690.5604,1.408309999999998,6.95126700072009
1275606125952,16.662441,16.23627,15.644692,5040.7686,1588.1839439291905,1343.5872,1.016049000000002,5.22856599440907
1374389600384,19.732172,18.364864,17.289764,3404.9011,566.5545702524287,426.0444,2.243807999999997,9.265755263794588
1619203481984,19.220102,17.877853,16.755497,3595.7598,582.3096792401927,696.264,2.0706050000000022,8.40008295461471
1653563247744,16.436014,16.148806,15.681716,6279.5405,3318.782990672069,1780.9856,0.6163980000000003,3.292711722040835
1717987078400,20.095362,18.629124,17.397757,3173.697,365.40146316627767,313.3219,2.6611050000000027,10.762772589737217
2851858288640,12.676144,12.356248,11.865775,5819.5605,373.6632256954428,363.0551,0.7534690000000015,4.388946207077893
2920577765120,15.681768,15.303216,14.76187,5304.1387,1699.9752690628663,1248.7585,0.9122979999999998,4.137002983072323
2989297243776,19.115332,17.871004,16.781527,3463.8408,423.9340806591542,358.7699,2.0788049999999982,9.304612342409472
3062312520192,15.5450535,15.18222,14.639991,5653.0347,1512.6130390943465,2104.148,0.7985624999999996,4.087380800995611
3371550165888,15.078717,14.56154,13.882971,5066.854,574.4500398988549,380.5594,1.0031459999999996,5.407478680306943
3508989119232,15.570536,15.161536,14.581887,5190.848,855.3783418898358,771.1644,0.9513490000000006,5.431644751205081
3607772690688,20.034538,18.986055,18.056614,3518.012,699.8384854673388,581.7452,1.9626240000000015,9.733565892528482
3917010338944,18.098682,17.389402,16.54743,4048.3394,982.4357692990234,1030.8868,1.5462520000000017,7.418581168889187
4230543624320,16.071898,15.7034445,15.176893,5646.016,2194.703643992094,1426.7289,0.8228050000000011,3.8615650763535907
4711579935744,14.619662,14.277885,13.765451,5512.4717,962.4443512897818,908.121,0.8474109999999994,4.348406860403573
4810363437952,20.503841,18.76147,17.62006,3245.7092,565.8677260734497,345.6406,2.8682810000000027,9.973795375418876
4814659150336,17.957743,17.15224,16.218094,4006.86,698.3812453729352,595.186,1.6701489999999999,7.803577159373317
5050881701504,19.88968,18.225672,16.991913,3364.7883,352.63969944634715,323.1736,2.543766999999998,9.946215986559622
5192616270720,17.65095,16.282227,15.139704,3432.535,124.16580719948522,124.4952,2.2407460000000015,10.37191691890747
5291399870976,17.172367,16.80119,16.276566,5441.6387,2632.6727429963244,1604.2902,0.8778010000000023,4.665705614731802
5291399871488,18.389256,17.489523,16.583426,4001.4219,805.2142614964027,640.2559,1.6811300000000002,7.73116570869373
5360119348480,20.00919,18.44239,17.26884,3378.046,369.26336196422153,330.3914,2.4089499999999995,10.07690890293267
5364414963072,17.811176,17.179367,16.44307,4837.087,1124.217151832774,3938.7864,1.1914060000000009,6.5869159654809035
5394479088256,19.0449,17.82597,16.763569,3772.0022,554.5460501376124,538.8998,1.938730999999998,8.51188191853669
5497558205696,16.777956,16.318913,15.695624,5043.8276,1404.2870470172652,1035.9622,1.034731999999999,5.492333550084668
5841155589888,20.593546,18.87573,17.700752,3190.7615,378.4267011980793,322.9268,2.8892939999999987,10.980721140237693
6017249992832,17.981346,17.294584,16.499447,4255.6987,1636.0201990510532,915.5822,1.4791989999999986,6.22054069316988
6085969468928,16.678385,16.271992,15.691676,5273.6055,1932.7684778586208,1218.6034,0.9825089999999994,4.833192830246421
6223408420864,14.462439,13.932565,13.249663,4995.751,322.80463683557616,302.8095,1.0578759999999998,6.09646617802677
6528350458496,18.737415,17.566711,16.489899,3732.3132,662.9047720732259,560.131,1.9597159999999973,7.9678552730100325
6631429670400,16.929173,15.907244,14.89607,3846.482,278.1514070557187,279.2379,1.8210029999999988,8.311037693985375
6944962925824,14.667728,14.281499,13.732877,5510.5625,1009.6883350833333,947.1208,0.864851,4.1294623055500175
7116761616256,18.321789,16.743837,15.483147,3431.9377,192.86414750205478,190.3634,2.3998419999999983,9.646079490323189
7387343906304,15.738258,15.05918,14.205895,4458.5513,378.56346603002953,374.5328,1.3668630000000002,6.853786503725196
7632157690368,8.554075,8.068802,7.4199953,5028.776,178.49832254854888,175.6677,1.044179699999999,1.640631304238827
7941395336832,16.131428,15.159093,14.181014,3983.6702,218.8645173029138,215.6414,1.7310140000000003,8.062616206519026
8040178948096,19.270851,18.20076,17.158165,3500.2463,755.6352401918076,577.9264,1.970586,8.556198981490823
