u_mag,g_mag,r_mag,i_mag,z_mag,cat
20.533161,17.968031,16.827314,16.373095,16.091063,star
18.894476,17.674576,17.208895,17.033516,16.97294,star
18.290901,17.022612,16.625498,16.431305,16.399673,star
19.784182,17.820679,17.003235,16.721306,16.541569,star
18.874607,17.638632,17.120625,16.907972,16.849592,star
17.86754,16.639681,16.141216,15.965429,15.92807,star
18.8792,17.440918,16.783993,16.498568,16.322937,star
18.352959,16.790821,16.15914,15.892138,15.750802,star
19.13571,17.17157,16.468216,16.240795,16.100643,star
18.790855,17.476933,17.014111,16.79092,16.637476,star
19.145519,16.804733,15.933923,15.629789,15.496177,star
18.17034,17.356983,17.053757,16.946266,16.887997,star
19.677872,17.954597,17.324135,17.123587,17.010965,star
17.438683,16.251499,15.854064,15.743556,15.747505,star
17.936586,16.434299,15.833981,15.57057,15.441114,star
18.883848,17.980923,17.684792,17.611734,17.569311,star
17.04129,15.772053,15.495051,15.349021,15.351124,star
18.358896,17.211678,17.078781,17.004826,16.935291,star
17.9025,16.526434,15.972104,15.741626,15.595447,star
20.398233,17.731331,16.401684,15.739979,15.403962,star
17.929996,16.880173,16.482742,16.353615,16.206572,star
18.4095,16.875046,16.229204,15.947639,15.795818,star
17.654909,16.321001,15.791855,15.520825,15.477778,star
18.154593,17.284355,16.919685,16.780781,16.705008,star
17.389656,15.943317,15.415464,15.246211,15.178227,star
18.966152,17.842972,17.413029,17.218576,17.156904,star
18.818127,17.119886,16.451841,16.166504,16.075933,star
18.905525,17.745646,17.313175,17.101891,17.093149,star
16.17341,15.331834,15.108277,15.484584,15.054942,star
19.315111,17.153566,16.285093,15.950887,15.805859,star
19.15296,17.641251,17.088486,16.877907,16.783907,star
20.525343,17.819246,16.543274,15.994329,15.731262,star
18.94536,17.522341,16.916842,16.728037,16.593863,star
18.36548,16.811762,16.151005,15.977121,15.877558,star
18.607927,17.525726,17.121138,16.979254,16.932037,star
16.812166,15.646787,15.240869,15.09788,15.081095,star
19.218199,17.17251,16.404726,16.193624,16.040377,star
19.252655,17.226292,16.50243,16.207594,16.108704,star
17.917616,16.772963,16.581371,16.511824,16.53809,star
18.688217,16.638214,15.873327,15.61811,15.450094,star
18.152098,16.720871,16.182951,16.060982,15.98717,star
18.713297,17.623316,17.461805,17.38586,17.378408,star
18.188923,16.671919,16.222374,16.02376,15.958955,star
18.26977,17.108938,16.843512,16.74161,16.75559,star
18.929152,17.67774,17.190351,17.028955,16.926718,star
16.889845,15.721075,15.28526,15.148126,15.115173,star
19.181616,17.686621,17.094107,16.834997,16.704384,star
18.725531,17.533901,17.025473,16.83317,16.73465,star
18.73493,16.781017,15.942711,15.712006,15.551146,star
19.56632,16.99725,15.855299,15.474756,15.234165,star
19.62277,17.578279,16.701715,16.354912,16.143251,star
18.147877,16.7092,16.190182,16.016579,15.867209,star
17.405485,16.130508,15.67736,15.56657,15.469641,star
18.258417,17.056349,16.663219,16.467424,16.37545,star
19.232597,17.914389,17.367126,17.112787,16.926098,star
18.17555,16.702948,16.152967,16.002869,15.832888,star
18.346388,16.889034,16.296345,16.095228,15.984734,star
18.208382,17.112806,16.705555,16.542017,16.490923,star
19.946453,17.541626,16.541822,16.223009,16.047106,star
17.405128,16.295475,15.892687,15.759776,15.710917,star
19.184757,17.85463,17.377811,17.166656,17.092024,star
18.200731,16.751436,16.221472,16.030342,15.93374,star
20.64016,17.990055,16.729721,16.223648,15.924397,star
18.228865,17.064213,16.592323,16.422174,16.378893,star
17.632597,16.509621,16.078243,15.870984,15.864738,star
17.391811,16.22463,15.729439,15.52259,15.467742,star
17.486137,16.410702,16.014715,15.885323,15.848057,star
17.365139,15.936864,15.382348,15.222269,15.145634,star
18.483784,16.47064,15.693937,15.402988,15.265719,star
17.447767,16.36467,15.968935,15.833528,15.816798,star
18.309288,17.06251,16.582167,16.476725,16.445967,star
16.575773,15.536152,15.290542,15.261177,15.246288,star
17.396103,15.988919,15.440855,15.311033,15.233733,star
16.489403,15.593719,15.322464,15.212375,15.209255,star
19.431475,17.606253,16.930393,16.690716,16.571079,star
19.718739,17.154484,15.940581,15.44558,15.164865,star
18.100574,16.714283,16.21068,16.045671,15.950493,star
19.337622,17.751345,17.119579,16.910877,16.790203,star
19.389559,17.894838,17.359303,17.205538,17.123497,star
19.59738,17.29841,16.28583,15.967102,15.767521,star
17.393667,16.348822,15.954556,15.867131,15.791762,star
19.025877,17.560934,16.993856,16.764149,16.675545,star
19.353508,17.469404,16.73657,16.50794,16.404909,star
19.792475,17.916193,17.217405,16.913479,16.735783,star
19.584988,17.967983,17.285786,17.010534,16.882269,star
17.443365,16.130278,15.667394,15.508835,15.474994,star
18.561205,17.486151,17.106453,17.006241,16.952095,star
18.86595,17.404913,16.809164,16.614233,16.507412,star
18.199003,17.288952,17.000435,16.914324,16.901695,star
18.520269,17.075392,16.60331,16.420307,16.341383,star
19.266644,17.807716,17.317144,17.085518,17.054394,star
19.488113,17.807816,17.31259,17.056248,16.858097,star
19.184511,17.15844,16.373819,16.076435,15.947939,star
18.50226,17.116783,16.632059,16.470184,16.408661,star
18.612743,17.281353,16.771715,16.581823,16.525845,star
17.716084,16.686218,16.324848,16.219728,16.140064,star
17.865158,16.206303,15.555446,15.298624,15.151584,star
17.996689,16.539757,15.978692,15.790077,15.7082,star
19.16802,17.726727,17.070442,16.787985,16.650181,star
19.380472,17.914238,17.338562,17.105576,16.988804,star
19.334618,17.813583,17.189388,16.936211,16.838249,star
17.959198,16.586451,16.011574,15.75173,15.69404,star
18.979599,17.057037,16.257803,15.941063,15.763824,star
18.834566,17.888374,17.618376,17.505054,17.464441,star
18.394674,17.485073,17.209059,17.139153,17.118004,star
